name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,,,PREDICTED AVERAGE TAKEDOWNS LANDED PER 15 MINUTES,UNIQUE HEIGHTS,UNIQUE WEIGHTS
Robert Drysdale,,7,0,0,190.5,92.99,,Orthodox,10/5/1981,0,0,0,0,7.32,100,0,21.9,,,,0.973562939,190.5,92.99
Daniel McWilliams,The Animal,15,37,0,185.42,83.91,,,,3.36,77,0,0,0,0,100,21.6,,,,1.354758126,185.42,83.91
Dan Molina,,13,9,0,177.8,97.98,,,,0,0,5.58,60,0,0,0,20.9,,,,0.969844864,177.8,97.98
Paul Ruiz,,7,4,0,167.64,61.23,,,,1.4,33,1.4,75,0,0,100,20.9,,,,1.130779204,167.64,61.23
Collin Huckbody,All In,8,2,0,190.5,83.91,193.04,Orthodox,9/29/1994,2.05,60,2.73,42,10.23,100,0,20.4,,,,1.205528004,175.26,70.31
Gerald Strebendt,The Finishing Machine,9,7,0,175.26,70.31,,Orthodox,3/1/1979,0,0,4,38,0,0,0,16.4,,,,0.968162901,182.88,120.2
Isaiah Hill,,5,7,1,177.8,70.31,,,,4.84,50,0.97,80,0,0,66,14.5,,,,1.523076488,198.12,118.39
Kenneth Seegrist,,4,7,0,182.88,83.91,,Orthodox,,3.21,66,1.28,0,0,0,40,14.4,,,,1.336937624,165.1,51.26
Will Kerr,,9,3,0,177.8,70.31,175.26,Orthodox,10/21/1982,1.91,42,6.22,33,0,0,0,14.3,,,,1.188049065,160.02,65.77
Neil Grove,Goliath,12,8,1,198.12,120.2,,Orthodox,1/18/1971,0,0,0,0,0,0,100,14.3,,,,0.969130641,187.96,87.09
Raphael Butler,The Silencer,9,2,1,190.5,118.39,,,,4.69,45,0.94,91,0,0,100,14.1,,,,1.507354645,170.18,77.11
Bo Nickal,,5,0,0,185.42,83.91,193.04,Southpaw,1/14/1996,2.76,62,0.55,75,11.04,50,0,13.8,,,,1.286545923,172.72,56.7
Ian Entwistle,Enty,9,3,0,165.1,61.23,,Orthodox,11/19/1986,0.11,7,7.36,31,0,0,0,12.1,,,,0.980282303,193.04,106.59
Megumi Fujii,Mega Megu,26,3,0,160.02,51.26,,,,2.4,42,0,100,0,0,0,12,,,,1.243075291,180.34,0
Gaston Reyno,Tonga,6,2,0,182.88,65.77,,,,7.79,62,3.9,44,0,0,0,11.7,,,,1.860568037,0,108.86
Kenny Ento,Tha' Dragon,14,15,0,187.96,87.09,,,,8.41,79,0,100,5.49,100,0,11,,,,1.93568273,162.56,127.01
AJ McKee,Mercenary,8,0,0,177.8,65.77,,,,2.75,32,0.92,80,11.01,100,100,11,,,,1.282822645,200.66,110.22
Westin Wilson,,16,8,0,185.42,65.77,185.42,Southpaw,1/24/1989,1.38,50,7.59,26,0,0,0,10.3,,,,1.124728311,195.58,104.33
Philip Perez,,7,5,1,165.1,70.31,,Southpaw,,1.36,100,0.68,66,10.23,100,0,10.2,,,,1.122809789,208.28,52.16
Brandon Shuey,Big Dawg,7,6,0,170.18,70.31,,Orthodox,2/1/1976,0.68,33,1.36,0,0,0,0,10.2,,,,1.042307535,157.48,69.85
Dave Phillips,The Rockstar,13,7,0,182.88,83.91,,Orthodox,1/12/1980,0,0,2,25,0,0,0,10,,,,0.9652145,210.82,113.4
Johnny Sampaio,,3,1,0,172.72,77.11,,Orthodox,9/11/1975,1.32,40,2.64,50,9.89,50,0,9.9,,,,1.116145213,203.2,83.01
Dione Barbosa,The Witch,6,2,0,167.64,56.7,167.64,Orthodox,5/8/1992,0.87,50,0.65,66,3.27,100,0,9.8,,,,1.061795646,152.4,90.72
Zach Reese,Savage,6,1,0,193.04,83.91,195.58,Switch,3/24/1994,3.93,66,6.56,28,0,0,0,9.8,,,,1.411947035,154.94,73.03
Rodrigo Gripp de Sousa,Riscado,7,9,0,180.34,92.99,,Orthodox,,0.48,23,4.81,52,0,0,0,9.6,,,,1.016270914,226.06,72.57
Justin Burlinson,,6,1,0,185.42,77.11,187.96,Switch,5/19/1997,1.24,40,3.09,61,0,0,100,9.3,,,,1.103949639,205.74,107.95
Poppies Martinez,The Tachi Kid,29,11,0,175.26,65.77,,,,2.88,50,2.16,51,1.54,33,50,9.2,,,,1.292327899,218.44,76.2
Josh Rafferty,,9,8,0,182.88,77.11,,Orthodox,1/6/1981,0.6,33,3.6,50,0,0,0,9,,,,1.03090021,,140.61
Daniel Puder,,8,0,0,190.5,106.59,,Orthodox,10/9/1981,2.77,68,1.17,38,1.21,50,81,9,,,,1.279868293,,63.05
Yukio Sakaguchi,,6,7,0,175.26,83.91,,Orthodox,7/26/1973,0.3,25,2.4,50,4.5,100,0,9,,,,0.997027838,,102.06
Magomed Sultanakhmedov,,18,6,0,187.96,83.91,,Southpaw,,0,0,2.4,42,9,100,0,9,,,,0.960681968,,119.75
Jeff Newton,,4,2,0,187.96,92.99,,Sideways,12/11/1966,0.28,20,1.41,52,0,0,0,8.5,,,,0.988281161,,102.97
Emiliano Sordi,He-Man,16,7,0,187.96,92.99,,Orthodox,2/15/1991,4.79,50,4.79,48,0,0,100,8.3,,,,1.512259348,,115.67
Erik Apple,,10,3,0,182.88,77.11,,Orthodox,8/26/1977,0,0,0.54,81,0,0,0,8.1,,,,0.956144819,,117.93
Fazlo Mulabitinovic,,4,2,0,,61.23,,,,0.54,16,0,100,0,0,0,8,,,,1.019448035,,90.26
J.T Taylor,The Outlaw,7,7,0,177.8,,,,,3.17,80,3.7,26,3.96,100,0,7.9,,,,1.325058252,,112.04
Adam Meredith,,5,3,0,187.96,77.11,,,,2.63,50,2.11,55,7.89,100,100,7.9,,,,1.261738592,,158.76
Klayton Mai,,8,3,0,175.26,56.7,,,,1.53,42,1.02,63,3.83,100,0,7.7,,,,1.132691727,,79.38
Ron Keslar,,11,9,0,,83.91,,,,0,0,2.05,60,0,0,100,7.7,,,,0.954448109,,82.1
Bobby McAndrews,,1,3,0,,,,Orthodox,,2.56,83,1.03,50,0,0,33,7.7,,,,1.251562549,,68.04
Ansar Chalangov,,14,5,0,175.26,77.11,,Orthodox,10/30/1979,0.68,66,1.69,54,0,0,0,7.6,,,,1.034091888,,109.32
Jeremiah Constant,,11,8,0,185.42,108.86,,Orthodox,7/19/1974,1.5,75,3.25,43,0,0,0,7.5,,,,1.12944134,,116.12
Paul Sass,,14,2,0,182.88,70.31,185.42,Orthodox,8/4/1988,0.53,26,1.9,51,0.53,16,33,7.4,,,,1.017590197,,95.25
Eddy Millis,,0,2,0,185.42,83.91,,,,0,0,3.36,22,0,0,0,7.2,,,,0.956551278,,156.49
James Lee,,15,3,0,180.34,92.99,,Southpaw,9/22/1973,1.4,42,3.72,27,13.95,50,0,7,,,,1.118782073,,105.23
Mikhail Iloukhine,,30,11,1,175.26,92.99,,Orthodox,11/21/1966,0.16,20,2.95,26,0,0,0,7,,,,0.970558719,,81.65
Kyle Jensen,,4,11,2,175.26,77.11,,Orthodox,7/20/1979,0,0,0.92,60,6.92,100,0,6.9,,,,0.952527832,,74.84
Ilya Kotau,,1,2,0,,77.11,,,,3.94,40,4.38,44,6.57,100,100,6.6,,,,1.410053226,,104.78
Trevor Harris,,2,2,0,167.64,65.77,,,,1.73,50,0.43,75,0,0,50,6.5,,,,1.150426505,,111.13
Jinnosuke Kashimura,,4,2,0,170.18,70.31,180.34,Southpaw,8/12/2001,0.21,50,7.37,25,3.16,100,0,6.3,,,,0.973623691,,106.14
Tom Erikson,The Big Cat,9,4,1,190.5,127.01,,Orthodox,,0.94,47,1.87,25,4.68,60,100,6.2,,,,1.057693275,,99.79
Jason Black,The Black Legion,23,4,1,172.72,70.31,,Orthodox,7/15/1972,1.06,47,2.6,45,0.48,33,28,6.2,,,,1.070350837,,109.77
Francisco France,Kiko,13,5,1,182.88,92.99,,,,0.54,33,3.51,27,0,0,0,6.1,,,,1.009664348,,97.07
John Albert,Prince,6,5,0,172.72,61.23,172.72,Orthodox,10/13/1986,3.05,49,2.82,35,0,0,50,6.1,,,,1.303812508,,118.84
Daniel Swain,,20,10,1,175.26,65.77,177.8,Orthodox,1/30/1991,0.8,44,3.2,40,0,0,0,6,,,,1.040802383,,100.24
Neiman Gracie,,6,0,0,182.88,77.11,,,,0.77,100,0.38,75,5.77,100,0,5.8,,,,1.037726347,,115.21
Shamil Gaziev,,11,0,0,193.04,120.2,198.12,Orthodox,2/10/1990,1.52,100,0,0,0,0,0,5.7,,,,1.123808291,,142.88
Masakatsu Funaki,,39,13,2,182.88,83.91,,Southpaw,3/13/1969,1.82,68,2.92,35,0,0,0,5.5,,,,1.159357199,,112.94
David Terrell,The Soul Assassin,6,2,0,185.42,83.91,,Southpaw,1/9/1978,2.34,63,2.71,37,5.54,50,0,5.5,,,,1.220681436,,97.52
Rob MacDonald,Maximus,5,4,0,190.5,92.99,198.12,Orthodox,9/5/1978,1.8,50,2.04,46,7.19,80,80,5.4,,,,1.156240404,,111.58
Nick Barnes,,11,2,0,180.34,77.11,,,,2.86,29,8.93,51,5.36,100,100,5.4,,,,1.279247953,,99.34
Matt Arroyo,No Regard,3,3,0,177.8,77.11,182.88,Orthodox,9/1/1982,1.62,47,2.01,58,2.12,36,100,5.3,,,,1.132504569,,117.03
Diego Lopes,,23,6,0,180.34,65.77,182.88,Orthodox,12/30/1994,2.47,53,4.91,37,0,0,42,5.3,,,,1.23213177,,86.18
Colin Robinson,Big C,10,12,0,193.04,110.22,,Orthodox,11/27/1968,6.19,69,7.91,37,2.58,100,50,5.2,,,,1.669709737,,107.05
Nick Garcia,Nitro,8,3,0,162.56,56.7,,,,0.67,25,3.03,50,0,0,83,5.1,,,,1.021004407,,114.76
Justin Levens,The Executioner,10,7,0,180.34,83.91,,Orthodox,4/18/1980,1.24,47,3.15,37,1.69,50,33,5.1,,,,1.08827393,,112.49
Mike Ciesnolevicz,,19,4,0,182.88,106.59,,Orthodox,10/28/1979,0.51,50,4.62,57,0,0,20,5.1,,,,1.002465808,,120.66
Magno Almeida,,10,3,0,182.88,70.31,,,,1.67,36,2.6,41,0,0,40,5,,,,1.138837287,,88.45
George Pacurariu,Constantine,10,5,0,170.18,61.23,,,,4.69,53,2.68,63,5.03,100,100,5,,,,1.492774751,,174.63
Ronaldo Candido,Pacman,6,0,0,167.64,56.7,,Southpaw,4/24/1989,1.67,42,3.87,52,8,53,0,5,,,,1.138671503,,119.29
Alex Schoenauer,,15,10,0,190.5,83.91,,Orthodox,5/5/1976,1.22,40,2.27,42,0,0,22,4.9,,,,1.08409655,,58.97
